"ID","HIGH_BID","INVOICE_DATE","BUYER_RELISTS","BUYER"
10577634,1520,2019-01-14,0,6310
10577828,4150,2019-01-15,0,6935
10580644,1630,2019-01-14,0,7338
10580698,2470,2019-01-23,0,8385
10581793,13440,2019-02-07,0,7587
10581852,1575,2019-02-01,0,10183
10582536,10815,2019-01-25,0,8945
10585247,445,2019-02-06,0,8040
10585771,2100,2019-02-04,0,3305
10587566,7770,2019-01-29,0,3164
10589175,3730,2019-02-04,0,8200
10594117,6300,2019-02-06,0,10635
10595701,5090,2019-01-18,0,4600
10596444,16170,2019-02-05,0,6367
10597069,13440,2019-02-05,0,8789
10598183,5775,2019-02-08,0,4047
10601093,945,2019-01-14,0,9205
10605188,395,2019-01-22,0,8040
10605956,3780,2019-01-28,0,3799
10608335,4990,2019-01-18,0,8982
10608582,5670,2019-02-06,0,9441
10611427,3410,2019-01-15,0,7398
10611666,1365,2019-01-29,0,6333
10611773,1940,2019-01-25,0,4974
10614502,3360,2019-01-28,0,7496
10615780,2260,2019-01-21,0,10592
10616321,7665,2019-01-14,0,8016
10616343,3045,2019-02-07,0,8733
10616410,3520,2019-02-01,0,9167
10617266,9555,2019-01-24,0,3602
10617271,970,2019-01-24,0,3814
10619088,10710,2019-01-24,0,6515
10621390,5670,2019-02-04,0,10466
10621825,4670,2019-01-25,0,6458
10623543,5985,2019-02-01,0,7473
10624113,15855,2019-02-05,0,9214
10624120,3410,2019-01-30,0,5147
10624942,2730,2019-01-21,0,3496
10630474,2310,2019-02-06,0,7495
10631375,1785,2019-01-29,0,10024
10634707,1100,2019-02-04,0,4246
10635867,5250,2019-02-07,0,3187
10637187,9555,2019-02-06,0,6650
10638533,3885,2019-01-21,0,7177
10640421,6720,2019-02-08,0,3162
10640583,3885,2019-01-17,0,3356
10640712,9555,2019-01-17,0,4273
10641038,10605,2019-02-01,0,4684
10641664,1730,2019-01-16,0,2236
10642200,1940,2019-01-24,0,5544
10642226,9555,2019-02-07,0,4925
10643827,605,2019-02-08,0,5855
10645075,2470,2019-01-23,0,3968
10647407,1310,2019-01-18,0,8230
10649979,5250,2019-01-18,0,6606
10653047,10605,2019-01-16,1,5819
10653161,2780,2019-02-06,0,10428
10653350,1050,2019-01-17,0,5493
10653688,3310,2019-01-30,0,8114
10653766,945,2019-02-05,0,5209
10654266,500,2019-01-28,0,10032
10656049,340,2019-02-08,0,7037
10656227,5985,2019-02-04,0,8238
10656352,11655,2019-02-06,0,7525
10658651,3360,2019-01-30,0,3213
10659252,2470,2019-02-08,0,5101
10660088,13650,2019-01-23,0,7628
10664338,4515,2019-01-22,0,8789
10664429,6195,2019-02-04,0,11069
10664856,1365,2019-01-24,0,7939
10665376,840,2019-01-25,0,8101
10666247,2890,2019-02-04,0,5205
10666628,445,2019-01-18,0,5981
10668692,315,2019-01-15,0,9998
10669262,3940,2019-01-14,0,2274
10669975,5460,2019-02-07,0,3104
10670081,14700,2019-01-28,0,5735
10676148,3675,2019-02-01,0,6456
10678376,6405,2019-02-01,0,4592
10681348,3520,2019-02-01,0,5260
10681377,340,2019-01-17,0,5835
10682876,5565,2019-02-01,0,5208
10684682,1520,2019-01-18,0,7466
10685207,5460,2019-01-24,0,9160
10685239,655,2019-01-28,0,2422
10685735,6300,2019-01-21,0,7146
10686206,7350,2019-01-25,0,6829
10686668,4410,2019-01-28,0,5729
10687951,3940,2019-01-25,0,5997
10689365,9765,2019-01-25,0,5786
10690774,2260,2019-01-25,0,8614
10692160,2100,2019-01-16,0,6167
10694937,2730,2019-02-05,0,3448
10697146,5355,2019-01-28,0,4474
10699087,2890,2019-01-22,0,2990
10699203,4990,2019-01-30,0,10398
10701323,4515,2019-01-29,0,7762
10702375,4150,2019-01-31,0,3371
10704136,4515,2019-01-23,0,7383
10704634,8925,2019-02-01,0,9835
10705164,8295,2019-01-31,0,2369
10705627,790,2019-02-08,0,7874
10707400,7770,2019-02-07,0,8051
10707845,865,2019-02-07,1,10566
10708384,1630,2019-01-21,0,10102
10710015,2150,2019-01-15,0,4447
10710585,3885,2019-01-18,0,6712
10712344,6615,2019-02-04,0,5899
10713163,37800,2019-02-05,0,5198
10713647,4460,2019-02-08,0,4900
10715382,4515,2019-01-22,0,7121
10717096,970,2019-02-08,0,6616
10717888,2050,2019-01-18,0,8789
10718408,2680,2019-01-14,0,2357
10719254,2680,2019-01-21,0,5509
10725393,2050,2019-01-22,0,4589
10726146,4040,2019-02-06,0,5260
10727215,945,2019-02-05,0,6731
10732856,4200,2019-01-31,0,6526
10732896,16065,2019-01-24,0,3948
10733029,1840,2019-01-25,0,8617
10733969,2100,2019-01-31,0,4358
10734786,2570,2019-01-31,0,10027
10735211,1100,2019-01-21,0,8040
10736271,2570,2019-02-06,0,11105
10740524,2050,2019-01-17,0,9598
10740732,2835,2019-01-17,0,3550
10741619,550,2019-01-28,0,2810
10745056,1680,2019-01-15,0,7836
10746160,1260,2019-01-29,0,8041
10746920,8295,2019-01-15,0,8773
10746939,5040,2019-01-28,0,10711
10750650,2470,2019-01-18,0,5580
10751374,5985,2019-01-30,0,10526
10754063,6825,2019-02-08,0,6606
10755121,5355,2019-02-07,0,10635
10757499,3570,2019-02-08,0,7695
10758856,2100,2019-01-29,0,6473
10758982,7665,2019-01-25,0,7353
10759033,4880,2019-01-31,0,2555
10760287,6090,2019-02-08,0,7031
10760464,14910,2019-01-23,0,4875
10760499,1630,2019-02-07,0,2456
10760996,7350,2019-01-22,0,4124
10762719,1155,2019-02-06,0,6084
10763103,5565,2019-02-06,0,6512
10763166,370,2019-02-07,0,3167
10765053,5985,2019-01-16,0,5558
10766036,1730,2019-02-04,0,6923
10768488,5670,2019-02-05,0,9992
10769755,1995,2019-01-17,0,4773
10774305,1520,2019-01-25,0,2872
10775130,2205,2019-01-28,0,5771
10775280,8925,2019-01-29,0,9598
10777204,1365,2019-02-01,0,2598
10779789,605,2019-02-06,0,7859
10781217,2680,2019-01-21,0,2883
10782836,8925,2019-02-06,0,6497
10782910,420,2019-01-31,0,9567
10783263,18585,2019-01-29,0,5231
10783728,4515,2019-01-18,0,11060
10784189,9555,2019-01-18,0,8054
10785066,6195,2019-01-16,0,7842
10787166,1940,2019-02-08,0,7939
10787358,1050,2019-02-06,0,7778
10789006,1420,2019-01-25,0,6327
10790815,3410,2019-01-31,0,11105
10791381,1575,2019-01-22,0,2356
10791716,1730,2019-01-29,0,5835
10791881,7455,2019-01-24,0,6606
10792639,5670,2019-02-08,0,4712
10796761,3730,2019-01-18,0,5260
10798027,1260,2019-02-06,0,2294
10798526,6615,2019-01-28,0,4625
10798933,2890,2019-02-06,0,3948
10799668,4095,2019-02-05,0,8199
10801009,4360,2019-02-04,0,6910
10801102,920,2019-02-05,0,9326
10801135,4460,2019-01-15,0,8828
10801268,8610,2019-01-15,0,8647
10801516,1995,2019-01-14,0,2349
10801654,8610,2019-02-01,0,6606
10804851,9765,2019-01-16,0,9247
10805266,2100,2019-02-05,0,4430
10805684,23730,2019-01-18,0,6801
10806827,2470,2019-01-14,0,6293
10809978,3570,2019-01-18,0,5071
10813980,14280,2019-01-22,0,5365
10815339,3675,2019-01-24,0,7410
10815796,2520,2019-01-29,0,2949
10817350,2890,2019-01-30,0,4637
10817565,3990,2019-01-30,0,7822
10825905,970,2019-01-14,0,3846
10826352,6930,2019-01-15,0,10968
10826834,6615,2019-01-29,0,6582
10828342,4780,2019-02-07,0,8375
10829766,7455,2019-01-18,0,10000
10831359,445,2019-01-28,0,8001
10832577,8295,2019-01-29,0,5657
10834094,10185,2019-02-08,0,5304
10836993,6405,2019-01-30,0,10636
10837845,4460,2019-01-14,0,8501
10840829,11025,2019-01-17,0,4887
10840920,2470,2019-01-29,0,8824
10841733,7245,2019-01-31,0,5736
10842283,2680,2019-01-16,0,6391
10842315,3410,2019-02-08,0,9706
10846275,4620,2019-01-18,0,2938
10851233,4460,2019-01-15,0,7686
10855521,1050,2019-02-07,0,6185
10855566,3675,2019-01-16,0,1361
10856412,6720,2019-01-31,0,5466
10857757,2260,2019-01-18,0,7832
10857767,12285,2019-02-08,0,3752
10859561,2050,2019-01-30,0,7366
10859665,1630,2019-01-18,0,8166
10860308,945,2019-01-18,0,11223
10860938,2150,2019-02-08,0,3895
10860971,2940,2019-01-23,0,4308
10863351,1575,2019-01-24,0,2346
10866351,5040,2019-01-16,0,10526
10867783,3410,2019-02-06,1,9693
10868407,5355,2019-01-24,0,4332
10869913,7770,2019-01-29,0,6938
10875838,2520,2019-02-01,0,2260
10876201,5565,2019-01-14,0,10398
10878770,3520,2019-01-31,0,3820
10880522,16590,2019-01-17,0,10665
10881771,1155,2019-01-15,0,9347
10882721,21420,2019-01-25,0,5231
10883567,7980,2019-01-15,0,3855
10886253,1995,2019-01-25,0,7366
10891406,2780,2019-02-08,0,5018
10892113,6300,2019-02-04,0,9663
10893471,2570,2019-01-14,0,8343
10894257,3360,2019-01-18,0,5298
10894337,2520,2019-02-01,0,5877
10895406,3150,2019-01-14,0,7728
10896897,4410,2019-02-07,0,10969
10896928,2310,2019-01-14,0,11105
10897281,14805,2019-02-04,0,2949
10898433,3200,2019-01-18,0,2397
10899974,1420,2019-01-28,0,11014
10901148,470,2019-01-29,0,10070
10904474,5145,2019-02-06,0,4728
10905635,2780,2019-02-05,0,6841
10906075,2780,2019-02-07,0,6327
10906251,1890,2019-02-08,0,2236
10907759,1730,2019-01-14,0,8954
10908054,4880,2019-01-28,0,7632
10908777,2730,2019-01-24,0,3228
10912447,3100,2019-01-28,0,10525
10913018,3045,2019-02-07,0,7177
10916756,1995,2019-01-22,0,3591
10918040,1730,2019-02-04,0,7220
10920478,1100,2019-02-04,0,3728
10921556,4250,2019-01-15,0,4859
10926418,1210,2019-02-01,0,8617
10930237,1785,2019-01-24,0,5081
10930861,3885,2019-01-16,0,2996
10932186,2520,2019-01-23,0,8115
10932191,1100,2019-01-22,0,9614
10933920,945,2019-01-22,0,7944
10936340,3465,2019-01-28,0,7438
10937952,1995,2019-01-28,0,10526
10939198,9660,2019-01-24,0,6606
10941973,420,2019-01-15,0,3856
10943094,6195,2019-01-15,0,3171
10947424,1310,2019-01-17,0,4069
10949677,8295,2019-02-08,0,9620
10950906,2890,2019-01-29,0,6241
10952482,11445,2019-01-23,0,7280
10955333,2205,2019-01-21,0,9898
10955790,3100,2019-01-15,0,3385
10955860,9345,2019-01-22,1,7544
10956424,6090,2019-02-05,0,11105
10957512,8400,2019-02-05,0,5828
10959706,8295,2019-02-08,0,7874
10959754,3410,2019-02-08,0,2402
10959984,5985,2019-01-31,0,4315
10960321,11025,2019-01-14,0,7651
10961013,2520,2019-01-18,0,5625
10961210,1025,2019-01-25,0,10621
10961675,2360,2019-02-04,0,6327
10961962,3150,2019-01-21,0,6535
10962181,7875,2019-01-21,0,9181
10963685,2990,2019-01-22,0,2737
10966972,8400,2019-01-23,0,8953
10967486,6300,2019-01-28,0,10195
10968667,12810,2019-02-06,0,7525
10973280,3410,2019-01-17,0,3076
10973821,3620,2019-01-25,0,2339
10976340,680,2019-01-16,0,6884
10976568,13545,2019-01-14,0,2384
10976945,1000,2019-02-08,0,2946
10977509,2050,2019-02-07,0,2504
10979094,5460,2019-01-15,0,9109
10981308,8715,2019-01-22,0,4089
10981978,920,2019-01-21,0,3724
10982867,15435,2019-01-29,0,11060
10984123,4250,2019-01-30,0,10433
10984719,6615,2019-01-30,0,10898
10986726,1470,2019-02-09,0,9336
10988099,4305,2019-01-21,0,3415
10989061,5200,2019-01-30,0,8312
10992995,2310,2019-01-21,1,8822
10994525,5355,2019-02-05,0,5203
10997193,9240,2019-02-07,0,3718
10999747,1420,2019-01-22,0,5409
11000725,11865,2019-01-29,0,9854
11002090,1310,2019-01-22,0,2310
11002317,9450,2019-01-28,0,3020
11004562,945,2019-01-22,0,4567
11004880,1730,2019-01-23,0,7212
11005146,5145,2019-01-29,0,3417
11005348,1940,2019-02-01,0,5509
11008016,2205,2019-01-15,0,8751
11008192,1730,2019-01-21,0,3092
11008334,6510,2019-01-23,0,9287
11008599,2730,2019-01-23,0,3968
11011807,3360,2019-01-14,0,4371
11012189,10920,2019-01-18,0,10034
11012699,13860,2019-01-25,0,9502
11012711,5090,2019-01-18,0,11153
11013138,3940,2019-01-24,0,9509
11013382,710,2019-01-30,0,6862
11014069,4250,2019-02-06,0,5546
11019704,2730,2019-01-23,0,8019
11020179,3100,2019-01-17,0,9553
11021156,1100,2019-01-30,0,5442
11022398,2730,2019-01-17,0,10167
11022693,1310,2019-01-14,0,8253
11024110,6510,2019-01-22,0,6763
11026047,7770,2019-02-06,0,9316
11028549,3520,2019-01-24,0,10997
11029819,4360,2019-01-21,0,3893
11030421,1310,2019-02-07,0,7925
11031543,9450,2019-01-21,0,4020
11032995,1260,2019-02-07,0,2386
11034218,1000,2019-01-30,0,7235
11034260,5200,2019-01-28,0,6606
11036878,1840,2019-01-25,0,7304
11039500,9135,2019-01-28,0,4549
11042755,890,2019-02-01,0,7325
11043935,4880,2019-01-28,0,9560
11046393,7770,2019-02-05,0,5825
11046617,5200,2019-01-18,0,11060
11047059,15960,2019-01-24,0,3855
11048869,6195,2019-01-22,0,3878
11053648,1995,2019-01-18,0,7544
11056933,3100,2019-02-04,0,5613
11057036,1730,2019-02-07,0,8409
11057385,1260,2019-01-25,0,4664
11058680,2050,2019-01-14,0,5754
11059478,2470,2019-02-07,0,10482
11059672,4880,2019-01-28,0,10157
11059699,2730,2019-02-01,0,7366
11059750,4990,2019-01-14,0,7832
11060710,19845,2019-01-29,0,2611
11063341,8295,2019-01-14,0,4043
11064220,8400,2019-01-30,0,3110
11067831,2730,2019-01-23,0,4849
11069701,840,2019-01-24,0,5098
11069842,3410,2019-01-24,0,2880
11072362,1210,2019-02-04,0,10179
11077149,3200,2019-01-28,0,4462
11077259,6090,2019-02-01,0,5736
11078812,4095,2019-02-06,0,8071
11079550,945,2019-01-29,0,5158
11079600,13965,2019-02-07,0,2893
11079959,4040,2019-01-18,0,5442
11080953,2150,2019-01-31,0,10450
11082490,1050,2019-01-25,0,9113
11083371,1840,2019-01-18,0,10144
11084305,1730,2019-01-23,0,6730
11084406,11445,2019-01-22,0,3928
11086235,550,2019-01-17,0,10695
11086877,710,2019-01-15,0,3124
11087508,18480,2019-01-31,0,9877
11089224,1785,2019-02-01,0,9683
11089450,2150,2019-01-22,0,8084
11090012,7875,2019-02-07,1,10038
11090383,395,2019-01-31,0,7650
11094860,710,2019-01-28,0,6764
11095204,4200,2019-01-17,0,5835
11095976,4150,2019-02-05,0,9419
11098481,3990,2019-01-25,1,9644
11099363,445,2019-01-17,0,4888
11100031,2470,2019-01-29,0,4083
11100739,3730,2019-01-29,0,10671
11101710,4150,2019-01-29,0,7745
11105689,9555,2019-02-04,1,6759
11106842,4570,2019-02-07,0,6316
11107517,8505,2019-01-16,1,3878
11110570,3520,2019-02-01,0,2454
11110705,9870,2019-01-30,0,2282
11110714,3675,2019-02-04,0,10377
11110863,2835,2019-02-07,0,3876
11111264,1470,2019-02-03,0,8580
11112688,1310,2019-01-18,0,2613
11114078,735,2019-02-08,0,5911
11114510,2050,2019-01-28,0,7941
11115455,1210,2019-01-22,0,2454
11116311,5460,2019-01-22,0,2938
11117372,2780,2019-01-24,0,2409
11120194,3150,2019-01-21,0,10273
11123276,2260,2019-02-04,0,7014
11123284,18480,2019-02-06,0,6543
11123346,2100,2019-02-08,0,8790
11123732,14175,2019-01-16,0,4462
11124382,31240,2019-02-10,0,4764
11124528,3885,2019-01-31,0,3471
11125641,1260,2019-02-08,0,9229
11128918,1630,2019-01-29,0,10034
11130972,3150,2019-01-29,0,8684
11133470,8085,2019-02-08,0,2264
11135439,19320,2019-02-06,0,2611
11136573,3465,2019-01-25,1,7055
11137027,1575,2019-02-01,0,8238
11141713,3100,2019-01-29,0,4751
11141726,5090,2019-01-18,0,8371
11143548,2940,2019-02-01,0,7274
11144833,1050,2019-01-17,1,6348
11146202,1260,2019-02-06,0,4216
11147035,2205,2019-02-01,0,7018
11147598,2835,2019-01-14,0,7338
11148145,655,2019-01-16,0,6363
11150099,4670,2019-01-31,0,2547
11150765,1100,2019-01-25,0,9572
11152353,1730,2019-01-24,0,7194
11158182,3990,2019-01-14,0,11060
11158220,17745,2019-02-08,0,7456
11160046,2520,2019-01-25,0,5155
11161684,1365,2019-01-14,0,2357
11166093,5355,2019-01-28,0,7438
11167938,3730,2019-01-15,0,9073
11169554,4780,2019-01-22,0,8433
11169796,1420,2019-01-30,0,2688
11170062,1155,2019-01-28,0,5727
11170215,2415,2019-01-29,0,5908
11170869,9135,2019-01-22,0,6808
11170962,2625,2019-01-21,0,2999
11171386,9450,2019-01-21,0,10578
11171821,3150,2019-01-21,0,2818
11173120,3885,2019-01-17,0,4468
11174761,4410,2019-02-01,0,9294
11174869,5565,2019-01-24,0,6950
11176159,500,2019-01-24,0,10451
11176791,7350,2019-02-05,0,7073
11178867,7140,2019-01-31,0,5736
11180565,5775,2019-02-06,0,6674
11182342,1785,2019-01-15,0,6478
11182617,5250,2019-02-08,0,4207
11182913,9450,2019-01-28,0,2644
11183091,16065,2019-02-07,0,3658
11184146,1840,2019-02-04,0,7366
11184720,7560,2019-02-08,0,8433
11186126,1630,2019-01-14,0,3961
11188253,4040,2019-01-23,0,5831
11193045,2570,2019-01-28,0,8729
11193628,6930,2019-02-05,0,8236
11193750,4460,2019-02-05,0,10381
11194657,2415,2019-02-04,0,2949
11195815,5565,2019-01-29,0,8596
11200050,8400,2019-02-01,0,3532
11201119,4410,2019-02-07,0,11105
11201404,1785,2019-01-25,0,5608
11201750,1730,2019-02-08,0,9630
11204314,3410,2019-01-29,0,3530
11204599,1260,2019-01-28,0,3666
11206034,3885,2019-02-01,0,6314
11206257,5880,2019-01-15,0,10462
11208693,5460,2019-02-05,0,10320
11210212,3310,2019-01-22,0,6219
11210834,3200,2019-01-30,0,9271
11210986,5670,2019-02-04,0,3390
11211101,14175,2019-01-21,0,2938
11213487,12075,2019-01-22,0,10010
11213881,3885,2019-02-08,0,2733
11215339,420,2019-01-28,0,5855
11215958,370,2019-01-25,0,3291
11216358,1840,2019-02-05,0,4485
11217771,6405,2019-01-22,0,5198
11220008,43840,2019-01-23,0,3162
11220960,2100,2019-01-15,0,5879
11221629,8085,2019-01-23,0,3073
11224195,1155,2019-02-06,0,3334
11224731,2780,2019-01-22,0,11105
11228346,890,2019-02-04,0,4481
11228877,5355,2019-02-01,0,9880
11230991,4040,2019-01-23,0,9686
11231626,865,2019-01-18,0,2414
11231733,760,2019-01-30,0,7832
11232426,1365,2019-01-14,0,8811
11232990,3830,2019-02-04,0,4092
11234589,735,2019-02-05,0,3092
11235459,11550,2019-01-15,0,9184
11236365,4040,2019-01-16,0,6140
11236372,3675,2019-01-18,0,9006
11237107,2680,2019-01-21,0,2798
11237875,9345,2019-01-29,0,7292
11240942,21630,2019-01-25,0,4240
11241090,5460,2019-01-16,0,7745
11241900,3310,2019-02-06,0,8563
11242802,5880,2019-01-25,0,8301
11243841,2890,2019-01-16,0,11081
11244499,6090,2019-01-16,0,6518
11245667,3620,2019-01-16,0,6473
11246979,2780,2019-01-15,0,2379
11248759,4200,2019-01-31,0,8647
11249283,4620,2019-02-08,0,2534
11250634,735,2019-01-23,0,4593
11256156,4670,2019-01-17,0,2397
11256807,2150,2019-01-30,0,4659
11259677,7245,2019-01-16,0,10111
11263252,420,2019-02-05,0,4076
11263872,11865,2019-02-05,0,8590
11266789,1940,2019-01-22,0,6677
11269265,8715,2019-02-04,0,5290
11269823,8610,2019-02-08,0,2500
11270317,4360,2019-02-08,0,5336
11271682,7875,2019-01-29,0,6123
11273568,2520,2019-01-31,0,9467
11283758,6405,2019-01-29,0,9519
11284898,21210,2019-01-14,0,4472
11285204,6930,2019-01-16,0,10944
11285559,2520,2019-01-14,0,9856
11287711,2205,2019-02-05,0,2958
11288700,655,2019-02-07,0,10798
11288992,2150,2019-01-14,0,6577
11290742,1310,2019-02-07,0,5493
11291398,1210,2019-01-24,0,2689
11291614,3620,2019-01-15,0,5778
11292196,8400,2019-02-05,0,7399
11293686,2260,2019-01-15,0,8438
11294220,12180,2019-02-07,0,5874
11297107,2835,2019-01-15,0,2402
11297908,2205,2019-01-18,0,8473
11298313,8715,2019-02-01,0,3557
11298931,1420,2019-01-21,0,4941
11299587,760,2019-01-29,0,10647
11300098,1050,2019-01-14,0,2244
11301033,10395,2019-01-18,0,4057
11304559,11130,2019-02-08,0,3516
11304819,2990,2019-01-29,0,6190
11305606,1940,2019-01-22,0,6267
11306257,3045,2019-01-16,0,5513
11306764,4570,2019-01-29,0,2407
11306798,3255,2019-01-24,0,9661
11310034,2570,2019-01-29,0,9810
11312407,4880,2019-02-08,0,8914
11315920,7875,2019-01-29,0,2951
11315940,4990,2019-01-18,0,6697
11317809,5565,2019-01-15,0,3225
11318504,10815,2019-01-15,0,6050
11320389,7665,2019-02-05,0,5231
11321080,1890,2019-01-17,0,5208
11321876,2050,2019-02-07,0,6834
11322303,2680,2019-01-16,0,7927
11323094,3570,2019-02-05,0,6682
11324355,1050,2019-01-28,0,2323
11324359,1155,2019-01-18,0,2733
11325481,815,2019-02-04,0,7372
11325776,1680,2019-01-22,0,2289
11325989,3940,2019-01-29,0,7399
11326187,14070,2019-01-18,0,7541
11328431,1890,2019-01-22,0,9573
11330193,7140,2019-01-31,0,5065
11333960,3990,2019-02-08,0,2278
11337943,10395,2019-01-23,0,7501
11338619,3730,2019-02-07,0,10320
11339268,4040,2019-02-05,0,8130
11340283,1630,2019-02-07,0,9110
11341032,5775,2019-01-21,0,3173
11344846,2205,2019-02-07,0,9819
11345153,1210,2019-02-05,0,6154
11346375,9135,2019-01-14,0,4433
11349776,2940,2019-01-30,0,10106
11355661,7245,2019-02-08,1,8288
11355736,7140,2019-02-08,1,6057
11356354,1940,2019-02-04,0,5791
11358393,47775,2019-02-04,0,8653
11358836,1365,2019-01-18,0,8001
11361927,3200,2019-02-01,0,2254
11362243,7770,2019-01-28,0,2380
11364648,1680,2019-01-21,0,9659
11367147,15015,2019-02-04,0,3065
11367275,3200,2019-02-04,0,6421
11369877,1840,2019-02-07,0,4499
11369950,1730,2019-02-01,0,6712
11372237,6720,2019-01-28,0,5325
11372765,1155,2019-02-08,0,4816
11372881,3780,2019-01-23,0,5898
11373651,2680,2019-01-21,0,8786
11374629,7350,2019-01-17,0,7358
11374987,1630,2019-01-16,0,9119
11377863,1260,2019-02-08,0,4680
11378242,4670,2019-02-05,0,6808
11381872,6195,2019-01-16,0,6897
11382013,11130,2019-02-01,0,2316
11382040,3200,2019-01-15,0,7015
11382204,3045,2019-02-05,0,3212
11382402,6405,2019-02-01,0,5464
11382987,4305,2019-01-15,0,10357
11383482,2520,2019-01-30,0,6519
11383916,2990,2019-01-18,0,6327
11385484,5880,2019-01-15,0,9967
11388223,9135,2019-01-31,0,2253
11389993,550,2019-01-29,0,11219
11390670,3255,2019-01-24,0,3536
11391338,4515,2019-01-15,0,2997
11391656,2260,2019-01-25,0,7832
11391827,4150,2019-01-28,0,9217
11392096,1520,2019-01-30,0,2689
11394683,6825,2019-01-18,0,7212
11396474,7350,2019-01-23,0,9064
11396620,2990,2019-01-18,0,4886
11397312,3310,2019-02-05,0,7366
11398006,1365,2019-01-16,0,10702
11398132,1680,2019-02-05,0,10320
11401137,8085,2019-01-25,0,7239
11401731,4200,2019-01-16,0,8728
11401811,1840,2019-01-14,0,4532
11403043,2990,2019-01-29,0,6310
11404302,2730,2019-01-28,0,5690
11406231,4830,2019-01-14,0,10966
11406697,580,2019-02-01,0,4388
11407679,1995,2019-02-04,0,8545
11409176,13755,2019-01-18,0,4072
11411289,13755,2019-01-30,0,5126
11413052,2470,2019-01-29,0,7778
11414401,4725,2019-02-01,0,9643
11417899,4780,2019-01-21,0,8653
11418190,7140,2019-01-31,0,9388
11421069,500,2019-01-29,0,10025
11422631,2470,2019-01-23,0,7630
11424445,3255,2019-01-15,0,4359
11424471,5090,2019-01-25,0,10055
11425220,4410,2019-01-15,0,2974
11427263,630,2019-02-08,0,8040
11427332,8190,2019-01-28,0,10580
11429535,5355,2019-02-06,0,7939
11431126,1000,2019-02-04,0,4884
11434222,3620,2019-01-15,0,4406
11434779,5775,2019-01-25,0,3704
11434822,3830,2019-01-14,0,3677
11435467,1100,2019-01-31,1,2409
11435895,3940,2019-01-15,0,5736
11436519,17745,2019-01-23,0,10665
11438204,1730,2019-01-28,0,5590
11438546,12600,2019-01-14,0,8669
11439218,6930,2019-01-16,0,8054
11440459,5040,2019-02-08,0,4913
11441611,6405,2019-02-05,0,4077
11441758,2205,2019-02-01,0,3232
11442372,3730,2019-01-18,0,8051
11442458,2625,2019-01-22,0,6355
11442631,17115,2019-01-23,0,5423
11442837,1260,2019-01-29,0,8483
11445029,10605,2019-02-05,0,7679
11446616,2680,2019-02-08,0,6225
11448787,2100,2019-01-28,0,3665
11450983,655,2019-01-21,0,8085
11451100,1785,2019-01-30,0,3888
