"BUYER","BUYER_STATE","BUYER_COUNTRY"
2429,"GT","GTM"
2430,"KY","USA"
2432,"BJ","MEX"
2433,"CH","MEX"
2434,"AR","USA"
2435,"CO","USA"
2436,"FL","USA"
2437,"MI","USA"
2438,"AR","USA"
2439,"SC","USA"
2440,"FL","USA"
2441,"CA","USA"
2442,"FL","USA"
2443,"IL","USA"
2445,"SV","SLV"
2446,"PB","MEX"
2447,"LB","LBN"
2448,"TX","USA"
2449,"SV","SLV"
2450,"IL","USA"
2451,"MI","USA"
2453,"CH","MEX"
2454,"AF","AFG"
2456,"AF","AFG"
2458,"TX","USA"
2459,"MI","USA"
2460,"HN","HND"
2462,"CA","USA"
2464,"TM","MEX"
2465,"TM","MEX"
2466,"MX","MEX"
2468,"LY","LBY"
2469,"PE","CAN"
2470,"AZ","USA"
2474,"FL","USA"
2477,"LA","USA"
2478,"BO","BOL"
2479,"AL","USA"
2480,"AL","USA"
2481,"UE","ARE"
2482,"UE","ARE"
2483,"FL","USA"
2484,"CA","USA"
2485,"OK","USA"
2486,"TX","USA"
2487,"HN","HND"
2489,"TM","MEX"
2490,"MI","USA"
2491,"KY","USA"
2492,"MO","USA"
2494,"HN","HND"
2495,"GT","GTM"
2496,"LY","LBY"
2497,"IL","USA"
2500,"MA","USA"
2501,"NY","USA"
2502,"FL","USA"
2503,"VI","USA"
2504,"CA","USA"
2505,"IL","USA"
2506,"MI","USA"
2508,"ON","CAN"
2509,"MT","USA"
2511,"CH","MEX"
2513,"CA","USA"
2514,"GT","GTM"
2515,"BJ","MEX"
2516,"CA","USA"
2518,"AR","USA"
2521,"FL","USA"
2523,"AB","CAN"
2524,"LB","LBN"
2528,"PA","USA"
2529,"MD","USA"
2531,"PA","USA"
2532,"FL","USA"
2533,"NM","USA"
2534,"OH","USA"
2536,"HI","USA"
2537,"AB","CAN"
2538,"PA","USA"
2539,"CO","USA"
2540,"GE","GEO"
2542,"PA","USA"
2544,"GT","GTM"
2546,"FL","USA"
2547,"BJ","MEX"
2548,"MO","USA"
2549,"MX","MEX"
2550,"GT","GTM"
2552,"FL","USA"
2553,"LY","LBY"
2554,"AB","CAN"
2555,"LB","LBN"
2558,"CA","USA"
2560,"CO","USA"
2561,"CH","MEX"
2562,"ON","CAN"
2563,"FL","USA"
2564,"TX","USA"
2566,"CO","USA"
2568,"MI","USA"
2570,"FL","USA"
2571,"CA","USA"
2572,"NG","NGA"
2573,"IL","USA"
2574,"TX","USA"
2575,"HI","USA"
2580,"ID","USA"
2582,"CH","MEX"
2583,"CA","USA"
2584,"GA","USA"
2585,"HN","HND"
2586,"OR","USA"
2587,"AL","USA"
2589,"DO","DOM"
2591,"GA","USA"
2593,"FL","USA"
2594,"NG","NGA"
2595,"KY","USA"
2597,"CO","USA"
2598,"IA","USA"
2601,"WA","USA"
2604,"FL","USA"
2605,"AL","USA"
2606,"OH","USA"
2607,"KY","USA"
2608,"NC","USA"
2610,"BO","BOL"
2611,"BC","CAN"
2612,"GT","GTM"
2613,"AR","USA"
2614,"NG","NGA"
2615,"GE","GEO"
2617,"FL","USA"
2618,"HN","HND"
2620,"CA","USA"
2621,"AL","USA"
2622,"FL","USA"
2623,"FL","USA"
2625,"MO","USA"
2626,"AR","USA"
2629,"NM","USA"
2630,"CA","USA"
2631,"NJ","USA"
2632,"CM","MEX"
2633,"IA","USA"
2634,"TX","USA"
2636,"SV","SLV"
2640,"NE","USA"
2642,"NC","USA"
2643,"OR","USA"
2644,"CO","USA"
2646,"CA","USA"
2649,"CR","CRI"
2651,"CA","USA"
2653,"MO","USA"
2654,"TX","USA"
2656,"IL","USA"
2657,"DC","USA"
2659,"TN","USA"
2660,"LA","USA"
2661,"AK","USA"
2662,"NG","NGA"
2663,"MN","USA"
2666,"TX","USA"
2667,"AL","USA"
2668,"PA","USA"
2670,"FL","USA"
2671,"HN","HND"
2673,"AB","CAN"
2676,"IA","USA"
2678,"SV","SLV"
2679,"FL","USA"
2682,"AL","USA"
2683,"MA","USA"
2685,"GA","USA"
2686,"NG","NGA"
2687,"HN","HND"
2688,"SD","USA"
2689,"IN","USA"
2690,"PA","USA"
2691,"IN","USA"
2692,"TX","USA"
2693,"FL","USA"
2694,"BS","BHS"
2695,"AR","USA"
2696,"SA","MEX"
2697,"FL","USA"
2698,"TM","MEX"
2701,"CA","USA"
2702,"PL","POL"
2703,"BJ","MEX"
2704,"TX","USA"
2705,"FL","USA"
2708,"PA","USA"
2709,"FL","USA"
2710,"SC","USA"
2711,"FL","USA"
2712,"IL","USA"
2713,"FL","USA"
2715,"  ","   "
2716,"BJ","MEX"
2717,"FL","USA"
2718,"CH","MEX"
2720,"FL","USA"
2721,"GT","GTM"
2722,"RB","BLR"
2723,"GT","GTM"
2726,"MI","USA"
2727,"FL","USA"
2728,"TX","USA"
2730,"NT","MEX"
2732,"FL","USA"
2733,"CA","USA"
2734,"FL","USA"
2735,"SV","SLV"
2736,"NC","USA"
2737,"CT","USA"
2738,"NC","USA"
2739,"TX","USA"
2740,"KY","USA"
2741,"FL","USA"
2742,"AB","CAN"
2743,"DO","DOM"
2744,"NJ","USA"
2745,"NJ","USA"
2746,"IN","USA"
2748,"MS","USA"
2749,"LY","LBY"
2750,"AZ","USA"
2751,"GT","GTM"
2752,"AZ","USA"
2754,"CA","USA"
2756,"WA","USA"
2757,"WA","USA"
2758,"IL","USA"
2759,"MA","USA"
2760,"AW","ABW"
2761,"ID","USA"
2762,"ON","CAN"
2763,"MI","USA"
2764,"ZC","MEX"
2765,"OH","USA"
2766,"GT","GTM"
2767,"MI","USA"
2768,"AL","USA"
2771,"FL","USA"
2772,"IN","USA"
2773,"FL","USA"
2774,"GT","GTM"
2775,"AZ","USA"
2776,"AZ","USA"
2777,"ID","USA"
2778,"CH","MEX"
2779,"CA","USA"
2780,"NE","USA"
2781,"CA","USA"
2782,"FL","USA"
2783,"NC","USA"
2786,"CA","USA"
2788,"OK","USA"
2789,"WA","USA"
2791,"UT","USA"
2794,"TX","USA"
2795,"TX","USA"
2798,"TN","USA"
2800,"TM","MEX"
2802,"SV","SLV"
2803,"CA","USA"
2807,"CA","USA"
2808,"NG","NGA"
2809,"CA","USA"
2810,"OR","USA"
2811,"PA","USA"
2812,"MD","USA"
2813,"GT","GTM"
2814,"NG","NGA"
2816,"GT","GTM"
2817,"FL","USA"
2818,"CO","USA"
2819,"JL","MEX"
2820,"BJ","MEX"
2821,"NG","NGA"
2823,"AL","USA"
2824,"TX","USA"
2825,"OH","USA"
2826,"FL","USA"
2827,"FL","USA"
2829,"NV","USA"
2831,"MI","USA"
2832,"AF","AFG"
2835,"TN","USA"
2836,"NG","NGA"
2837,"FL","USA"
2838,"PA","USA"
2840,"CA","USA"
2841,"AL","USA"
2842,"CA","USA"
2843,"CA","USA"
2844,"CA","USA"
2846,"GT","GTM"
2847,"TX","USA"
2848,"BJ","MEX"
2849,"LB","LBN"
2850,"QC","CAN"
2852,"PA","USA"
2853,"CO","USA"
2854,"GA","USA"
2855,"CA","USA"
2856,"CA","USA"
2857,"FL","USA"
2858,"FL","USA"
2860,"FL","USA"
2862,"CO","USA"
2863,"MR","MEX"
2865,"FL","USA"
2866,"MI","USA"
2867,"AL","USA"
2870,"KY","USA"
2871,"OM","OMN"
2872,"KY","USA"
2873,"GA","USA"
2874,"CA","USA"
2875,"CA","USA"
2876,"TM","MEX"
2877,"JL","MEX"
2878,"BS","BHS"
2879,"KY","USA"
2880,"MI","USA"
2881,"GT","GTM"
2883,"AZ","USA"
2885,"FL","USA"
2886,"LY","LBY"
2887,"BJ","MEX"
2888,"NC","USA"
2889,"AL","USA"
2890,"GH","GHA"
2891,"GT","GTM"
2892,"LA","USA"
2893,"HN","HND"
2894,"FL","USA"
2895,"FL","USA"
2896,"LA","USA"
2897,"IN","USA"
2898,"UA","UKR"
2899,"CA","USA"
2900,"MS","USA"
2901,"FL","USA"
2902,"HN","HND"
2903,"GH","GHA"
2904,"QC","CAN"
2905,"GT","GTM"
2908,"HN","HND"
2909,"FL","USA"
2910,"FL","USA"
2911,"BE","BEN"
2912,"BC","CAN"
2915,"TX","USA"
2916,"AB","CAN"
2917,"KY","USA"
2919,"AZ","USA"
2920,"CH","MEX"
2921,"NE","USA"
2922,"BJ","MEX"
2923,"OR","USA"
2924,"QC","CAN"
2925,"JN","JOR"
2926,"AK","USA"
2927,"CH","MEX"
2931,"FL","USA"
2932,"DE","USA"
2933,"IA","USA"
2934,"CA","USA"
2935,"NG","NGA"
2936,"DE","USA"
2937,"IN","USA"
2938,"WI","USA"
2939,"OH","USA"
2940,"TM","MEX"
2942,"SB","SVK"
2944,"NJ","USA"
2945,"IL","USA"
2946,"MI","USA"
2947,"KS","USA"
2949,"FL","USA"
2950,"VA","USA"
2951,"CA","USA"
2952,"TX","USA"
2955,"GT","GTM"
2956,"GT","GTM"
2958,"NC","USA"
2959,"ID","USA"
2960,"CA","USA"
2961,"TN","USA"
2962,"CH","MEX"
2963,"CA","USA"
2965,"GE","GEO"
2966,"MS","USA"
2967,"DO","DOM"
2968,"GT","GTM"
2970,"FL","USA"
2971,"FL","USA"
2972,"FL","USA"
2973,"FL","USA"
2974,"NG","NGA"
2976,"BS","BHS"
2977,"LA","USA"
2978,"NC","USA"
2979,"IL","USA"
2980,"AL","USA"
2981,"FL","USA"
2982,"PA","USA"
2984,"MI","USA"
2985,"CA","USA"
2986,"BJ","MEX"
2987,"FL","USA"
2988,"NG","NGA"
2989,"OK","USA"
2990,"CO","USA"
2991,"HN","HND"
2993,"CR","CRI"
2994,"GT","GTM"
2995,"GT","GTM"
2996,"KY","USA"
2997,"GA","USA"
2998,"IN","USA"
2999,"DG","MEX"
3000,"DE","USA"
3001,"BZ","BLZ"
3002,"  ","   "
3003,"GH","GHA"
3004,"FL","USA"
3005,"HN","HND"
3006,"GH","GHA"
3007,"MI","USA"
3008,"GT","GTM"
3009,"BS","BHS"
3010,"AR","USA"
3011,"CA","USA"
3013,"NY","USA"
3014,"CA","USA"
3015,"PA","USA"
3016,"WA","USA"
3017,"OR","USA"
3018,"MO","USA"
3019,"TX","USA"
3020,"GA","USA"
3021,"GA","USA"
3022,"VA","USA"
3023,"CA","USA"
3024,"IL","USA"
3025,"ID","USA"
3026,"NN","NLD"
3027,"GT","GTM"
3028,"GA","USA"
3030,"TX","USA"
3031,"MD","USA"
3033,"AB","CAN"
3034,"KS","USA"
3036,"PA","USA"
3037,"AR","USA"
3038,"IN","USA"
3039,"HN","HND"
3040,"IL","USA"
3041,"GE","GEO"
3042,"LY","LBY"
3043,"CA","USA"
3044,"OR","USA"
3045,"MD","USA"
3046,"AL","USA"
3047,"IN","USA"
3048,"MN","USA"
3049,"FL","USA"
3050,"IL","USA"
3051,"AK","USA"
3052,"GT","GTM"
3053,"SC","USA"
3054,"SN","MEX"
3055,"GT","GTM"
3056,"AB","CAN"
3057,"FL","USA"
3060,"CA","USA"
3061,"BO","BOL"
3062,"GT","GTM"
3063,"AM","ARM"
3064,"IL","USA"
3065,"CA","USA"
3066,"FL","USA"
3067,"MA","USA"
3069,"AL","USA"
3071,"AZ","USA"
3072,"SC","USA"
3073,"FL","USA"
3074,"TX","USA"
3075,"JN","JOR"
3076,"CT","USA"
3077,"NV","USA"
3080,"CH","MEX"
3081,"BJ","MEX"
3082,"CH","MEX"
3084,"ON","CAN"
3085,"PA","USA"
3086,"SC","USA"
3088,"TX","USA"
3090,"MA","USA"
3091,"JN","JOR"
3092,"FL","USA"
3093,"NG","NGA"
3094,"FL","USA"
3095,"IL","USA"
3096,"KY","USA"
3098,"AZ","USA"
3099,"KY","USA"
3100,"KY","USA"
3101,"GA","USA"
3102,"KY","USA"
3103,"FL","USA"
3104,"FL","USA"
3106,"GT","GTM"
3107,"CA","USA"
3108,"NM","USA"
3109,"FL","USA"
3110,"AL","USA"
3111,"TX","USA"
3112,"GT","GTM"
3113,"GA","USA"
3114,"AZ","USA"
3115,"LY","LBY"
3117,"CA","USA"
3118,"ZC","MEX"
3119,"PA","USA"
3120,"CA","USA"
3122,"CA","USA"
3123,"CH","MEX"
3124,"TM","MEX"
3126,"PN","PAN"
3127,"CH","MEX"
3128,"IN","USA"
3129,"UE","ARE"
3130,"AZ","USA"
3131,"AR","USA"
3132,"SV","SLV"
3134,"CA","USA"
3135,"CO","USA"
3136,"CA","USA"
3137,"CA","USA"
3138,"MO","USA"
3139,"UT","USA"
3140,"UE","ARE"
3141,"UE","ARE"
3142,"GT","GTM"
3143,"UE","ARE"
3144,"YE","YEM"
3145,"MI","USA"
3146,"CH","MEX"
3147,"KY","USA"
3148,"GT","GTM"
3149,"IN","USA"
3150,"CA","USA"
3151,"ND","USA"
3152,"AB","CAN"
3153,"GA","USA"
3154,"IA","USA"
3158,"GT","GTM"
3159,"NJ","USA"
3160,"GT","GTM"
3161,"FL","USA"
3162,"IL","USA"
3163,"FL","USA"
3164,"CA","USA"
3165,"AR","USA"
3166,"FL","USA"
3167,"CH","MEX"
3168,"GT","GTM"
3169,"CA","USA"
3170,"GH","GHA"
3171,"CO","USA"
3172,"FL","USA"
3173,"FL","USA"
3174,"CA","USA"
3175,"CA","USA"
3176,"NE","USA"
3177,"FL","USA"
3178,"NC","USA"
3179,"CA","USA"
3180,"AK","USA"
3181,"LA","USA"
3182,"DG","MEX"
3183,"CH","MEX"
3184,"CH","MEX"
3185,"KY","USA"
3186,"FL","USA"
3187,"BJ","MEX"
3188,"GH","GHA"
3189,"KY","USA"
3190,"BS","BHS"
3192,"NC","USA"
3193,"TX","USA"
3195,"GA","USA"
3196,"FL","USA"
3197,"GE","GEO"
3198,"MD","USA"
3199,"BJ","MEX"
3201,"TN","USA"
3203,"GT","GTM"
3204,"AB","CAN"
3205,"NJ","USA"
3206,"CA","USA"
3207,"NJ","USA"
3208,"AB","CAN"
3209,"AK","USA"
3210,"DG","MEX"
3211,"BJ","MEX"
3212,"HN","HND"
3213,"BJ","MEX"
3214,"  ","   "
3216,"TX","USA"
3218,"KY","USA"
3219,"MT","USA"
3220,"KY","USA"
3221,"FL","USA"
3222,"LB","LBN"
3223,"KY","USA"
3224,"CA","USA"
3225,"CA","USA"
3226,"GA","USA"
3227,"IQ","IRQ"
3228,"CA","USA"
3229,"MN","USA"
3230,"BS","BHS"
3231,"DO","DOM"
3232,"SN","MEX"
3233,"KY","USA"
3234,"GT","GTM"
3235,"TX","USA"
3236,"AR","USA"
3238,"MO","USA"
3239,"HN","HND"
3240,"GT","GTM"
3241,"BC","CAN"
3242,"AL","USA"
3243,"MO","USA"
3244,"TX","USA"
3246,"CA","USA"
3247,"TX","USA"
3248,"NG","NGA"
3249,"IL","USA"
3250,"IL","USA"
3251,"MI","USA"
3253,"IL","USA"
3254,"GT","GTM"
3255,"AR","USA"
3256,"AF","AFG"
3258,"MI","USA"
3259,"FL","USA"
3260,"ND","USA"
3261,"TM","MEX"
3262,"TN","USA"
3263,"GA","USA"
3264,"CA","USA"
3265,"AZ","USA"
3266,"PA","USA"
3267,"SV","SLV"
3268,"TX","USA"
3269,"MO","USA"
3270,"MO","USA"
3271,"AR","USA"
3272,"NH","USA"
3273,"GT","GTM"
3274,"FL","USA"
3275,"CA","USA"
3276,"NC","USA"
3277,"GE","GEO"
3278,"CA","USA"
3279,"AR","USA"
3280,"GT","GTM"
3281,"TX","USA"
3282,"AL","USA"
3283,"BS","BHS"
3284,"NG","NGA"
3285,"LA","USA"
3286,"IN","USA"
3289,"GT","GTM"
3290,"CO","USA"
3291,"GN","MEX"
3293,"TN","USA"
3296,"KS","USA"
3297,"AZ","USA"
3298,"TN","USA"
3300,"CT","USA"
3302,"BS","BHS"
3303,"PA","USA"
3305,"HN","HND"
3306,"BS","BHS"
3307,"MS","USA"
3309,"CH","MEX"
3310,"HN","HND"
3312,"IQ","IRQ"
3313,"NE","USA"
3314,"FL","USA"
3315,"FL","USA"
3316,"AW","ABW"
3317,"FL","USA"
3319,"GT","GTM"
3320,"LB","LBN"
3321,"FL","USA"
3322,"MI","USA"
3323,"IN","USA"
3324,"BZ","BLZ"
3326,"TX","USA"
3327,"TX","USA"
3329,"CA","USA"
3330,"TX","USA"
3331,"OH","USA"
3332,"FL","USA"
3333,"FL","USA"
3334,"NC","USA"
3335,"AF","AFG"
3337,"MS","USA"
3339,"PA","USA"
3340,"GT","GTM"
3341,"FL","USA"
3342,"NG","NGA"
3343,"HI","USA"
3344,"DE","USA"
3347,"CA","USA"
3348,"FL","USA"
3349,"CA","USA"
3351,"OH","USA"
3352,"GT","GTM"
3353,"AR","USA"
3354,"NC","USA"
3355,"OK","USA"
3356,"FL","USA"
3359,"MN","USA"
3360,"BO","BOL"
3361,"FL","USA"
3362,"IN","USA"
3363,"GA","USA"
3364,"NJ","USA"
3365,"GA","USA"
3366,"FL","USA"
3367,"TX","USA"
3369,"IN","USA"
3370,"TX","USA"
3371,"CA","USA"
3373,"CA","USA"
3374,"CA","USA"
3375,"TX","USA"
3376,"NC","USA"
3378,"NC","USA"
3379,"GT","GTM"
3380,"ON","CAN"
3381,"HI","USA"
3382,"FL","USA"
3383,"GA","USA"
3384,"TX","USA"
3385,"IN","USA"
3386,"HI","USA"
3387,"CA","USA"
3388,"CA","USA"
3389,"CH","MEX"
3390,"AR","USA"
3391,"AL","USA"
3393,"NG","NGA"
3394,"IL","USA"
3395,"MO","USA"
3396,"WA","USA"
3397,"IA","USA"
3399,"GA","USA"
3401,"TM","MEX"
3402,"GA","USA"
3403,"CA","USA"
3404,"FL","USA"
3405,"GT","GTM"
3406,"AB","CAN"
3407,"CH","MEX"
3408,"FL","USA"
3409,"GA","USA"
3410,"IN","USA"
3411,"SV","SLV"
3412,"FL","USA"
3414,"TX","USA"
3415,"AZ","USA"
3416,"AZ","USA"
3417,"MO","USA"
3419,"HN","HND"
3420,"HN","HND"
3421,"GH","GHA"
3422,"CA","USA"
3423,"CA","USA"
3424,"LA","USA"
3425,"FL","USA"
3426,"AL","USA"
3428,"FL","USA"
3429,"AL","USA"
3430,"CA","USA"
3431,"FL","USA"
3432,"CM","MEX"
3433,"CH","MEX"
3434,"AL","USA"
3435,"BZ","BLZ"
3436,"NV","USA"
3437,"PA","USA"
3438,"ES","EST"
3439,"IL","USA"
3440,"NX","NER"
3441,"PA","USA"
3442,"IN","USA"
3443,"AR","USA"
3444,"ES","EST"
3445,"GT","GTM"
3446,"CR","CRI"
3447,"CA","USA"
3448,"FL","USA"
3449,"TX","USA"
3450,"CH","MEX"
3451,"GB","GBR"
3453,"PN","PAN"
3454,"TX","USA"
3455,"MI","USA"
3456,"MD","USA"
3457,"CO","USA"
3458,"FL","USA"
3459,"FL","USA"
3460,"CA","USA"
3461,"KY","USA"
3462,"FL","USA"
3463,"TX","USA"
3464,"TX","USA"
3465,"FL","USA"
3466,"AK","USA"
3467,"IN","USA"
3468,"BZ","BLZ"
3470,"HN","HND"
3471,"CR","CRI"
3472,"CA","USA"
3473,"ES","EST"
3474,"FL","USA"
3475,"GH","GHA"
3476,"FL","USA"
3477,"HD","MEX"
3479,"TX","USA"
3480,"TX","USA"
3481,"IA","USA"
3482,"CA","USA"
3483,"CA","USA"
3484,"TX","USA"
3486,"PA","USA"
3488,"FL","USA"
3489,"CH","MEX"
3490,"MC","MEX"
3492,"MO","USA"
3493,"FL","USA"
3494,"GA","USA"
3496,"CH","MEX"
3497,"NJ","USA"
3498,"DE","USA"
3499,"SV","SLV"
3500,"HN","HND"
3502,"SV","SLV"
3503,"IN","USA"
3504,"CH","MEX"
3505,"CO","USA"
3506,"SA","MEX"
3507,"FL","USA"
3508,"OH","USA"
3509,"KY","USA"
3511,"AB","CAN"
3512,"GA","USA"
3514,"LA","USA"
3515,"SN","MEX"
3516,"NG","NGA"
3517,"AZ","USA"
3518,"AZ","USA"
3519,"HN","HND"
3520,"GA","USA"
3521,"CA","USA"
3522,"NE","USA"
3523,"CA","USA"
3524,"AL","USA"
3525,"MN","USA"
3527,"CO","USA"
3528,"NG","NGA"
3529,"OH","USA"
3530,"HN","HND"
3532,"MS","USA"
3533,"ON","CAN"
3534,"FL","USA"
3535,"GT","GTM"
3536,"GE","GEO"
3537,"TX","USA"
3538,"BJ","MEX"
3540,"AB","CAN"
3541,"GE","GEO"
3544,"KY","USA"
3545,"FL","USA"
3546,"FL","USA"
3548,"NJ","USA"
3549,"HN","HND"
3550,"CA","USA"
3551,"IN","USA"
3554,"CA","USA"
3556,"TX","USA"
3557,"FL","USA"
3558,"IL","USA"
3559,"TX","USA"
3560,"GH","GHA"
3561,"PA","USA"
3563,"PA","USA"
3564,"MA","USA"
3566,"NC","USA"
3567,"NJ","USA"
3568,"CA","USA"
3569,"KY","USA"
3570,"MN","USA"
3571,"CA","USA"
3572,"IL","USA"
3576,"SD","USA"
3578,"WA","USA"
3579,"AZ","USA"
3580,"BO","BOL"
3581,"CA","USA"
3582,"GT","GTM"
3583,"BJ","MEX"
3584,"ON","CAN"
3585,"CO","USA"
3586,"KY","USA"
3587,"TX","USA"
3589,"GH","GHA"
3590,"CA","USA"
3591,"MI","USA"
3592,"BJ","MEX"
3593,"AL","USA"
3594,"TX","USA"
3595,"FL","USA"
3596,"CA","USA"
3597,"UT","USA"
3599,"SN","MEX"
3600,"CA","USA"
3601,"GH","GHA"
3602,"IL","USA"
3603,"JN","JOR"
3605,"IL","USA"
3606,"IL","USA"
3607,"AR","USA"
3608,"CA","USA"
3610,"CA","USA"
3611,"CA","USA"
3613,"KY","USA"
3614,"FL","USA"
3616,"FL","USA"
3617,"GA","USA"
3618,"LY","LBY"
3619,"YE","YEM"
3622,"TX","USA"
3623,"AL","USA"
3624,"GT","GTM"
3625,"IL","USA"
3626,"PA","USA"
3627,"FL","USA"
3628,"FL","USA"
3629,"FL","USA"
3632,"GT","GTM"
3634,"GT","GTM"
3635,"GT","GTM"
3636,"BJ","MEX"
3638,"FL","USA"
3639,"CA","USA"
3640,"GE","GEO"
3641,"IN","USA"
3642,"GE","GEO"
3643,"IN","USA"
3645,"OH","USA"
3646,"SC","USA"
3647,"TN","USA"
3649,"SR","SUR"
3650,"MO","USA"
3651,"FL","USA"
3652,"FL","USA"
3653,"GA","USA"
3654,"NY","USA"
3655,"GT","GTM"
3656,"TX","USA"
3657,"GT","GTM"
3658,"FL","USA"
3659,"MN","USA"
3661,"GT","GTM"
3662,"FL","USA"
3664,"GT","GTM"
3665,"AZ","USA"
3666,"MI","USA"
3667,"CO","USA"
3668,"AL","USA"
3669,"CH","MEX"
3670,"KY","USA"
3671,"IN","USA"
3672,"CA","USA"
3673,"MI","USA"
3674,"CA","USA"
3676,"TX","USA"
3677,"CH","MEX"
3678,"FL","USA"
3679,"MN","USA"
3680,"TX","USA"
3681,"CA","USA"
3682,"MI","USA"
3683,"GT","GTM"
3684,"CA","USA"
3685,"AR","USA"
3686,"FL","USA"
3688,"HN","HND"
3690,"FL","USA"
3691,"FL","USA"
3692,"KY","USA"
3693,"GT","GTM"
3694,"CH","MEX"
3695,"MI","USA"
3696,"UE","ARE"
3697,"GT","GTM"
3698,"BS","BHS"
3699,"GA","USA"
3701,"BS","BHS"
3702,"FL","USA"
3704,"OK","USA"
3706,"CO","USA"
3708,"CA","USA"
3710,"BO","BOL"
3711,"FL","USA"
3712,"NC","USA"
3713,"FL","USA"
3714,"JN","JOR"
3715,"AL","USA"
3716,"BO","BOL"
3717,"MO","USA"
3718,"FL","USA"
3719,"PA","USA"
3720,"FL","USA"
